time,open,high,low,close,tick_volume,spread,real_volume
2025-08-07 05:10:00,114389.45,114433.12,114389.2,114420.53,363,980,0
2025-08-07 05:11:00,114420.14,114424.76,114397.15,114417.23,341,980,0
2025-08-07 05:12:00,114417.33,114448.66,114410.72,114435.3,354,980,0
2025-08-07 05:13:00,114435.63,114442.85,114416.16,114416.16,341,980,0
2025-08-07 05:14:00,114415.93,114436.37,114411.63,114430.46,360,980,0
2025-08-07 05:15:00,114430.58,114434.72,114419.14,114430.29,360,980,0
2025-08-07 05:16:00,114430.05,114445.45,114423.72,114439.68,356,980,0
2025-08-07 05:17:00,114439.14,114447.18,114436.81,114441.78,393,980,0
2025-08-07 05:18:00,114441.41,114462.63,114440.69,114444.38,345,980,0
2025-08-07 05:19:00,114443.5,114444.84,114433.88,114444.55,389,980,0
2025-08-07 05:20:00,114444.86,114559.77,114444.15,114552.47,368,980,0
2025-08-07 05:21:00,114552.63,114566.7,114518.64,114538.84,374,980,0
2025-08-07 05:22:00,114531.42,114531.42,114515.85,114520.74,364,980,0
2025-08-07 05:23:00,114520.93,114601.69,114494.63,114596.15,416,980,0
2025-08-07 05:24:00,114596.82,114599.96,114550.94,114557.86,351,980,0
2025-08-07 05:25:00,114559.48,114566.08,114516.57,114531.06,431,980,0
2025-08-07 05:26:00,114531.1,114533.41,114491.49,114506.76,430,980,0
2025-08-07 05:27:00,114507.03,114564.7,114501.06,114549.32,381,980,0
2025-08-07 05:28:00,114549.38,114551.25,114531.11,114542.22,393,980,0
2025-08-07 05:29:00,114542.59,114543.48,114532.59,114535.22,378,980,0
2025-08-07 05:30:00,114535.16,114599.87,114532.73,114594.48,408,980,0
2025-08-07 05:31:00,114594.48,114614.72,114589.28,114605.32,382,980,0
2025-08-07 05:32:00,114605.37,114619.91,114581.6,114584.73,366,980,0
2025-08-07 05:33:00,114584.36,114598.02,114561.08,114579.23,390,980,0
2025-08-07 05:34:00,114579.18,114586.22,114556.37,114561.42,413,980,0
2025-08-07 05:35:00,114563.91,114588.95,114558.52,114558.82,406,980,0
2025-08-07 05:36:00,114558.8,114584.95,114558.43,114584.38,370,980,0
2025-08-07 05:37:00,114584.28,114604.61,114554.98,114592.43,322,980,0
2025-08-07 05:38:00,114592.46,114630.86,114588.17,114590.07,372,980,0
2025-08-07 05:39:00,114589.95,114600.83,114577.67,114582.01,347,980,0
2025-08-07 05:40:00,114580.73,114591.92,114568.73,114578.19,359,980,0
2025-08-07 05:41:00,114578.1,114578.55,114560.41,114567.93,345,980,0
2025-08-07 05:42:00,114567.14,114592.32,114565.26,114586.14,369,980,0
2025-08-07 05:43:00,114586.0,114595.27,114576.61,114591.86,367,980,0
2025-08-07 05:44:00,114590.49,114630.01,114585.47,114618.13,372,980,0
2025-08-07 05:45:00,114617.34,114621.37,114576.68,114599.76,362,980,0
2025-08-07 05:46:00,114599.8,114622.33,114598.77,114616.75,344,980,0
2025-08-07 05:47:00,114616.24,114654.41,114586.94,114652.37,398,980,0
